Name,Average_User_Rating,User_Rating_Count,Price,Age_Rating,Primary_Genre,Specific_Genre,Size,Original_Release_Year
Red Conquest! (Episodes 1 & 2!),4,532,0.99,12+,Games,Simulation,19387392,2009
Alien Antigens Lite,2,18,0,4+,Games,Strategy,6556139,2009
Shredder Chess Lite,4,836,0,4+,Games,Education,24859648,2009
Home Sweet Home LITE,3.5,13618,0,4+,Games,Lifestyle,25593921,2009
Six Logic: Use your Brain!,4,64,0.99,4+,Games,Puzzle,53878784,2009
Zen Wars,4,184,0.99,9+,Games,Strategy,56263680,2011
3 Boxes,2.5,310,0,4+,Games,Entertainment,26754048,2009
Age of Conquest: Asia,3.5,92,2.99,12+,Games,Entertainment,37567488,2009
Strimko Lite,3.5,324,0,4+,Games,Strategy,13945969,2009
Rogue Planet - FREE,3.5,1736,0,9+,Games,Action,80186242,2009
Fragmental 3D Lite - Build Lines with Falling Blocks!,2.5,1377,0,4+,Games,Puzzle,7988224,2009
"""Gerry's Pegs""",2,6,0.99,4+,Games,Strategy,13468672,2009
Merchant,3.5,96,0,4+,Games,Social,52686848,2014
European War Lite,3.5,1739,0,9+,Games,Strategy,14912432,2009
Instant Chess,4,1009,0,4+,Games,Board,123698176,2009
Solve My Sudoku Penultimate,2,602,0,4+,Entertainment,Strategy,215840,2009
Optia,4,1335,2.99,4+,Games,Entertainment,32712704,2009
Hipercubo,3,86,0,4+,Games,Strategy,13109248,2010
2012 Zombies vs Aliens Warfare,3.5,37350,0,12+,Games,Strategy,14556326,2010
Crazy Chess Random - BA.net,2,119,0,4+,Games,Board,46803968,2009
Bungee Stickmen - Australian Landmarks {LITE +},3,1229,0,12+,Medical,Adventure,10781853,2010
Bungee Stickmen - Australian Landmarks {LITE +},3,1229,0,12+,Medical,Adventure,10781853,2010
Tic Tac Toe Countdown,3.5,14,0,4+,Games,Board,9549824,2010
Space Harvest,4,342,0,9+,Games,Action,19326976,2010
Shark Attack Lite,3,254,0,4+,Games,Casual,8296134,2010
Pinochle,4.5,10311,0,4+,Games,Strategy,50140160,2010
Space Adventure,2.5,319,0.99,4+,Games,Simulation,47455232,2010
M\xfc,4,98,2.99,4+,Games,Strategy,11632640,2010
